"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:47:39:918","55773498802212","   0.101","  11.809"," 1437"," 1100"," 2600"," 1445","   2.445","   0.246","   0.068","   1.298","   0.131","   0.036"," 61","0"," 59"," 61","   0.962","   0.097","   0.027","  15.000","  500","  500"
"04:47:40:033","55773658851038","   0.216","  11.838"," 1467"," 1100"," 2000"," 1472","   2.569","   0.542","   0.150","   1.328","   0.283","   0.079"," 61","0"," 59"," 61","   0.911","   0.202","   0.056","  15.000","  500","  500"
"04:47:40:139","55773805785086","   0.321","  10.626"," 1416"," 1100"," 2000"," 1424","   2.388","   0.794","   0.220","   1.156","   0.405","   0.113"," 61","0"," 58"," 60","   0.983","   0.305","   0.085","  15.000","    0","    0"
"04:47:40:245","55773952687462","   0.427","   9.522"," 1266"," 1100"," 2000"," 1263","   2.024","   1.007","   0.280","   0.930","   0.504","   0.140"," 61","0"," 58"," 60","   0.901","   0.401","   0.111","  15.000","    0","    0"
"04:47:40:347","55774095443138","   0.529","  10.638"," 1301"," 1100"," 2000"," 1310","   2.228","   1.236","   0.343","   1.078","   0.614","   0.171"," 60","0"," 58"," 60","   0.925","   0.495","   0.138","  15.000","    0","    0"
"04:47:40:448","55774236530054","   0.631","  12.188"," 1293"," 1100"," 2000"," 1295","   2.243","   1.463","   0.406","   1.133","   0.729","   0.202"," 61","0"," 58"," 60","   0.845","   0.581","   0.161","  15.000","    0","    0"
"04:47:40:549","55774376578084","   0.731","   7.927"," 1197"," 1100"," 1200"," 1200","   1.532","   1.617","   0.449","   0.727","   0.802","   0.223"," 60","0"," 58"," 60","   0.720","   0.654","   0.182","  15.000","    0","    0"
"04:47:40:653","55774521411332","   0.835","  11.342"," 1322"," 1100"," 2000"," 1324","   2.352","   1.862","   0.517","   1.136","   0.920","   0.256"," 61","0"," 58"," 61","   0.873","   0.744","   0.207","  15.000","    0","    0"
"04:47:40:756","55774664582578","   0.938","   9.370"," 1261"," 1100"," 2000"," 1260","   1.985","   2.066","   0.574","   0.910","   1.014","   0.282"," 61","0"," 58"," 61","   0.879","   0.835","   0.232","  15.000","    0","    0"
"04:47:40:857","55774805544300","   1.040","   9.295"," 1262"," 1100"," 2000"," 1260","   2.010","   2.270","   0.630","   0.899","   1.105","   0.307"," 61","0"," 58"," 60","   0.905","   0.926","   0.257","  15.000","    0","    0"
"04:47:40:960","55774949198550","   1.143","  21.904"," 2122"," 1100"," 3200"," 2137","   4.869","   2.772","   0.770","   3.662","   1.483","   0.412"," 61","0"," 58"," 65","   1.178","   1.048","   0.291","  15.000","    0","    0"
"04:47:41:063","55775092524150","   1.246","  17.108"," 1905"," 1100"," 3500"," 1923","   4.409","   3.226","   0.896","   3.157","   1.808","   0.502"," 61","0"," 59"," 63","   1.017","   1.153","   0.320","  15.000","  500","  500"
"04:47:41:164","55775232911082","   1.347","  10.091"," 1771"," 1100"," 3100"," 1753","   3.143","   3.543","   0.984","   1.715","   1.981","   0.550"," 60","0"," 59"," 63","   1.011","   1.255","   0.349","  15.000","    0","    0"
"04:47:41:269","55775378174504","   1.451","  10.879"," 1428"," 1100"," 2600"," 1431","   2.301","   3.783","   1.051","   1.136","   2.099","   0.583"," 61","0"," 58"," 61","   0.929","   1.352","   0.375","  15.000","  500","  500"
"04:47:41:374","55775524815850","   1.556","   7.993"," 1282"," 1100"," 2000"," 1284","   2.160","   4.011","   1.114","   0.873","   2.191","   0.609"," 60","0"," 58"," 61","   0.928","   1.449","   0.403","  15.000","    0","    0"
"04:47:41:476","55775667448624","   1.659","   8.259"," 1264"," 1100"," 1700"," 1264","   1.853","   4.201","   1.167","   0.864","   2.280","   0.633"," 61","0"," 58"," 60","   0.832","   1.535","   0.426","  15.000","    0","    0"
"04:47:41:580","55775812220262","   1.763","  11.997"," 1384"," 1100"," 2000"," 1385","   2.764","   4.488","   1.247","   1.322","   2.417","   0.671"," 60","0"," 58"," 61","   1.020","   1.641","   0.456","  15.000","    0","    0"
"04:47:41:681","55775952295136","   1.863","   9.270"," 1291"," 1100"," 1700"," 1295","   2.033","   4.693","   1.304","   0.955","   2.513","   0.698"," 60","0"," 58"," 61","   0.803","   1.721","   0.478","  15.000","    0","    0"
"04:47:41:783","55776094066474","   1.965","   9.384"," 1260"," 1100"," 1700"," 1266","   1.913","   4.888","   1.358","   0.886","   2.604","   0.723"," 60","0"," 58"," 60","   0.841","   1.807","   0.502","  15.000","  500","  500"
"04:47:41:888","55776240703760","   2.071","   8.508"," 1272"," 1100"," 2000"," 1272","   1.915","   5.089","   1.414","   0.868","   2.695","   0.749"," 61","0"," 58"," 60","   0.846","   1.896","   0.527","  15.000","    0","    0"
"04:47:41:994","55776387456868","   2.176","   8.198"," 1270"," 1100"," 2000"," 1276","   1.884","   5.288","   1.469","   0.848","   2.784","   0.773"," 61","0"," 58"," 61","   0.831","   1.984","   0.551","  15.000","    0","    0"
"04:47:42:097","55776531383364","   2.279","  10.280"," 1367"," 1100"," 2000"," 1378","   2.238","   5.519","   1.533","   1.104","   2.899","   0.805"," 60","0"," 58"," 60","   0.880","   2.075","   0.576","  15.000","    0","    0"
"04:47:42:198","55776672191478","   2.381","   9.312"," 1267"," 1100"," 2000"," 1268","   1.981","   5.720","   1.589","   0.941","   2.994","   0.832"," 60","0"," 58"," 60","   0.854","   2.161","   0.600","  15.000","    0","    0"
"04:47:42:299","55776812012946","   2.481","   9.058"," 1265"," 1100"," 1700"," 1275","   1.917","   5.912","   1.642","   0.899","   3.084","   0.857"," 60","0"," 58"," 60","   0.802","   2.242","   0.623","  15.000","    0","    0"
"04:47:42:399","55776951945858","   2.582","   8.427"," 1277"," 1100"," 2000"," 1283","   1.914","   6.105","   1.696","   0.900","   3.174","   0.882"," 60","0"," 58"," 60","   0.834","   2.326","   0.646","  15.000","  500","  500"
"04:47:42:500","55777092299300","   2.682","   8.852"," 1266"," 1100"," 2000"," 1272","   1.860","   6.292","   1.748","   0.863","   3.262","   0.906"," 60","0"," 58"," 60","   0.878","   2.414","   0.671","  15.000","  500","  500"
"04:47:42:605","55777239023360","   2.788","   9.957"," 1332"," 1100"," 2000"," 1338","   2.217","   6.526","   1.813","   1.050","   3.372","   0.937"," 60","0"," 58"," 61","   0.900","   2.509","   0.697","  15.000","    0","    0"
"04:47:42:707","55777380869320","   2.890","   8.092"," 1338"," 1100"," 2000"," 1338","   1.872","   6.717","   1.866","   0.872","   3.461","   0.961"," 60","0"," 58"," 60","   0.815","   2.592","   0.720","  15.000","    0","    0"
"04:47:42:813","55777527596016","   2.995","   8.289"," 1266"," 1100"," 2000"," 1264","   1.757","   6.902","   1.917","   0.837","   3.549","   0.986"," 60","0"," 58"," 60","   0.741","   2.670","   0.742","  15.000","    0","    0"
"04:47:42:913","55777667613112","   3.096","   9.901"," 1270"," 1100"," 2000"," 1282","   2.033","   7.107","   1.974","   0.984","   3.648","   1.013"," 60","0"," 58"," 60","   0.829","   2.754","   0.765","  15.000","    0","    0"
"04:47:43:016","55777811013160","   3.199","  20.306"," 1550"," 1100"," 2000"," 1552","   3.355","   7.452","   2.070","   2.043","   3.859","   1.072"," 60","0"," 58"," 60","   1.017","   2.858","   0.794","  15.000","  500","  500"
"04:47:43:117","55777950837574","   3.299","  11.388"," 1438"," 1100"," 2000"," 1447","   2.298","   7.683","   2.134","   1.213","   3.981","   1.106"," 60","0"," 58"," 60","   0.913","   2.950","   0.819","  15.000","    0","    0"

"Total Elapsed Time (sec) = 3.299112"
"Measured RDTSC Frequency (GHz) = 1.392"

"Cumulative Package Energy_0 (Joules) = 7.682983"
"Cumulative Package Energy_0 (mWh) = 2.134162"
"Average Package Power_0 (Watt) = 2.328804"

"Cumulative IA Energy_0 (Joules) = 3.980652"
"Cumulative IA Energy_0 (mWh) = 1.105737"
"Average Package IA_0 (Watt) = 1.206583"

"Cumulative DRAM Energy_0 (Joules) = 2.950134"
"Cumulative DRAM Energy_0 (mWh) = 0.819482"
"Average Package DRAM_0 (Watt) = 0.894221"
